vial_id,sample_id,sample_type
S009063,millet,plant
S009007,SKME_001,plant
S009904,SKME_002,plant
S009037,SKME_003,plant
S009099,SKME_004,plant
S009016,SKME_005,plant
S008895,SKME_006,plant
S009001,SKME_007,plant
S009006,SKME_008,plant
S008897,SKME_009,plant
S009017,SKME_010,plant
S008870,SKME_011,plant
S009010,SKME_012,plant
S009013,SKME_013,plant
S009003,SKME_014,plant
S009027,SKME_015,plant
S008809,SKME_016,plant
S008885,SKME_017,plant
S008864,SKME_018,plant
S008818,SKME_019,plant
S009057,SKME_020,plant
S008874,SKME_021,plant
S009098,SKME_022,plant
S009011,SKME_023,plant
S009012,SKME_024,plant
S008866,SKME_025,plant
S009002,SKME_026,plant
S009089,SKME_027,plant
S008887,SKME_028,plant
S009005,SKME_029,plant
S009088,SKME_030,plant
S008876,SKME_031,plant
S008892,SKME_032,plant
S008880,SKME_033,plant
S009014,SKME_034,plant
S008893,SKME_035,plant
S009015,SKME_036,plant
S008867,SKME_037,plant
S008875,SKME_038,plant
S008877,SKME_039,plant
S008819,SKME_040,plant
S008886,SKME_041,plant
S008865,SKME_042,plant
S008882,SKME_043,plant
S009047,SKME_044,plant
S009000,SKME_045,plant
S008878,SKME_046,plant
S008828,SKME_047,plant
S009048,SKME_048,plant
S008868,SKME_049,plant
S008889,SKME_050,plant
S009008,SKME_051,plant
S008858,SKME_052,plant
S008859,SKME_053,plant
S008898,SKME_054,plant
S009009,SKME_055,plant
S008888,SKME_056,plant
S008849,SKME_057,plant
S009045,SKME_058,plant
S009028,SKME_059,plant
S009035,SKME_060,plant
S009018,SKME_061,plant
S008829,SKME_062,plant
S008848,SKME_063,plant
S009069,SKME_064,plant
S009029,SKME_065,plant
S009058,SKME_066,plant
S008879,SKME_067,plant
S009025,SKME_068,plant
S008869,SKME_069,plant
S009019,SKME_070,plant
S009068,SKME_071,plant
S008839,SKME_072,plant
S009059,SKME_073,plant
S008838,SKME_074,plant
S008896,SKME_075,plant
S009049,SKME_076,plant
S008843,SKME_077,plant
S008820,SKME_078,plant
S009038,SKME_079,plant
S009078,SKME_080,plant
S009039,SKME_081,plant
S009024,SKME_082,plant
S009056,SKME_083,plant
S008831,SKME_084,plant
S008852,SKME_085,plant
S008853,SKME_086,plant
S008823,SKME_087,plant
S009079,SKME_088,plant
S008840,SKME_089,plant
S008850,SKME_090,plant
S008851,SKME_091,plant
S008842,SKME_092,plant
S008841,SKME_093,plant
S008822,SKME_094,plant
S008830,SKME_095,plant
S008821,SKME_096,plant
S009046,SKME_097,plant
S009036,SKME_098,plant
S009034,SKME_099,plant
S009026,SKME_100,plant
S008833,SKME_101,plant
S008832,SKME_102,plant
S009044,SKME_103,plant
S009055,SKME_104,plant
S009054,SKME_105,plant
S009984,SKME_106,plant
S009993,SKME_107,plant
S009983,SKME_108,plant
S009978,SKME_109,plant
S009972,SKME_110,plant
S009992,SKME_112,plant
S009995,SKME_113,plant
S009982,SKME_114,plant
S009979,SKME_115,plant
S009989,SKME_116,plant
S009998,SKME_117,plant
S009977,SKME_118,plant
S009974,SKME_119,plant
S009996,SKME_120,plant
S009976,SKME_121,plant
S009991,SKME_122,plant
S009973,SKME_123,plant
S009971,SKME_124,plant
S009999,SKME_125,plant
S009987,SKME_126,plant
S009988,SKME_127,plant
S009990,SKME_128,plant
S012894,SKME_129,plant
S012892,SKME_130,plant
S012890,SKME_131,plant
S012893,SKME_132,plant
S012891,SKME_133,plant
S012880,SKME_134,plant
S012881,SKME_135,plant
S012882,SKME_136,plant
S012883,SKME_137,plant
S012884,SKME_138,plant
S012870,SKME_139,plant
S012860,SKME_140,plant
S012850,SKME_141,plant
S012871,SKME_142,plant
S012872,SKME_143,plant
S012873,SKME_144,plant
S012861,SKME_145,plant
S012863,SKME_146,plant
S012862,SKME_147,plant
S012851,SKME_148,plant
S009076,B2CA34,fecal
S009095,B2CA34,fecal
S009066,B1FEA6,fecal
S009067,B2C5EB,fecal
S009065,B2C5EB,fecal
S009090,B1E354,fecal
S009097,B2B91D,fecal
S009086,B20760,fecal
S009096,B25D35,fecal
S009074,B73E71,fecal
S009075,B73E71,fecal
S009087,B73F00,fecal
S009077,B73F00,fecal
S009064,B2D03F,fecal
S009085,B1FF1D,fecal
S009084,B2CA33,fecal
S008854,B2CA33,fecal
S008855,B2CD92,fecal
S008856,B2CD92,fecal
S008857,B26E1D,fecal
S008847,B26E1D,fecal
S008846,B2B4A5,fecal
S008845,B2B4A5,fecal
S008844,B1FF41,fecal
S008824,B210B4,fecal
S008826,B210B4,fecal
S008835,B211CF,fecal
S008834,B266A9,fecal
S008837,B266A9,fecal
S008825,B20652,fecal
S008836,B2B07E,fecal
S008827,B2CEEE,fecal
S009023,B2C4FE,fecal
S009043,B2C4FE,fecal
S009052,B2C475,fecal
S009031,B2D3D5,fecal
S009022,B2D3D5,fecal
S009030,B1F1DC,fecal
S009050,B1F1DC,fecal
S009032,B2114D,fecal
S009040,B212CD,fecal
S009041,B21151,fecal
S009051,B21151,fecal
S009021,B2CDFF,fecal
S009020,B2CDFF,fecal
S009033,B1F2EB,fecal
S009042,B1FEE8,fecal
S009053,B1FEE8,fecal
S010059,B20227,fecal
S010048,B20227,fecal
S010084,B2C5EB,fecal
S010004,B2CA34,fecal
S010054,B2CA34,fecal
S010024,B2B22C,fecal
S010047,B2B22C,fecal
S010019,B1FECD,fecal
S010029,B20208,fecal
S010023,B20208,fecal
S010003,B1FDA8,fecal
S010017,B2076C,fecal
S010049,B2076C,fecal
S010037,B26791,fecal
S010053,B26791,fecal
S010043,B21360,fecal
S010033,B1F39E,fecal
S010064,B26A52,fecal
S010074,B26A52,fecal
S010013,B1F2AC,fecal
S010039,B2CA33,fecal
S010044,B2CA33,fecal
S010034,NA,fecal
S010014,NA,fecal
S010063,B1F12C,fecal
S010028,B1F12C,fecal
S010069,B1FF1D,fecal
S010068,B1F124,fecal
S010083,B1F124,fecal
S010092,B21078,fecal
S010073,B21078,fecal
S010027,B201EC,fecal
S010002,B201EC,fecal
S008812,B2B4A5,fecal
S008803,B1DB76,fecal
S008811,B1FF41,fecal
S008814,B18E24,fecal
S010038,A51565,fecal
S010058,B2D1BD,fecal
S010012,B2ADDD,fecal
S008816,B7144D,fecal
S008817,B1DB12,fecal
S010093,B1DB12,fecal
S008815,B20652,fecal
S008800,B210B4,fecal
S010032,B210B4,fecal
S010072,B19BB1,fecal
S008813,B2C686,fecal
S010085,B2CEEE,fecal
S010016,B2CEEE,fecal
S008804,B2C988,fecal
S010006,B2C988,fecal
S010031,B1DBAD,fecal
S010018,B2C475,fecal
S010046,B2C475,fecal
S010082,B2C4F3,fecal
S008806,B2D3D5,fecal
S010062,B20631,fecal
S009092,B20631,fecal
S010065,B1F2EB,fecal
S010022,B1F2EB,fecal
S010026,B207F3,fecal
S010035,B207F3,fecal
S009072,B2B4BF,fecal
S009070,B2CE4E,fecal
S010025,B2CE4E,fecal
S008810,B20422,fecal
S008802,B21151,fecal
S010055,B21151,fecal
S010000,DO8,fecal
S010086,B1FECD,fecal
S010087,DO1,fecal
S010090,B20227,fecal
S010041,B20227,fecal
S008861,DO2,fecal
S010081,B2B22C,fecal
S010076,B2C5EB,fecal
S010001,B2C5EB,fecal
S010099,B71300,fecal
S010040,B71300,fecal
S010070,B1E7F3,fecal
S010050,B1E7F3,fecal
S010051,B1DB46,fecal
S010010,B2CC91,fecal
S008860,DM3,fecal
S010061,B2B328,fecal
S010057,B2B328,fecal
S008884,B26A90,fecal
S008899,B26A90,fecal
S008872,B1E3FA,fecal
S010011,B2CC8F,fecal
S010008,B1F39E,fecal
S010021,B26791,fecal
S008873,B1FDA8,fecal
S010005,B211D3,fecal
S010030,B710EE,fecal
S008881,B1E2E7,fecal
S009062,B1E2E7,fecal
S008871,B1FF62,fecal
S010071,DO4,fecal
S008883,B2B0AD,fecal
S008801,B2B0AD,fecal
S008891,B2CFD9,fecal
S008807,B2CCCF,fecal
S010015,B2CCCF,fecal
S010077,B2D736,fecal
S010067,B2D736,fecal
S008805,B20FBA,fecal
S008894,B20400,fecal
S009080,B20400,fecal
S008863,PP5,fecal
S010089,B2C50A,fecal
S009094,B73E65,fecal
S010095,B2C686,fecal
S010078,B2C686,fecal
S010009,B2D1BD,fecal
S010036,A51565,fecal
S010097,B7144D,fecal
S010091,B7144D,fecal
S010088,DO6,fecal
S010075,DO6,fecal
S008862,B19BB1,fecal
S010079,B19BB1,fecal
S010060,DO7,fecal
S009073,DO7,fecal
S009071,B20652,fecal
S010098,B1DB12,fecal
S010096,B2CEEE,fecal
S009093,B2CEEE,fecal
S010056,B1F2EB,fecal
S009083,B2C9EC,fecal
S010007,B212CD,fecal
S008890,B212CD,fecal
S010094,B207F3,fecal
S009060,B20631,fecal
S010066,B6E945,fecal
S010052,B21151,fecal
S010020,B21151,fecal
S009081,B2CE4E,fecal
S009091,B2CE4E,fecal
S009082,B1F0CF,fecal
S010042,B25194,fecal
S010045,B1DC8F,fecal
S010080,B1DC8F,fecal
S013010,B1FA07,fecal
S013080,B20227,fecal
S013030,B711B5,fecal
S013071,B20B4F,fecal
S013000,B24428,fecal
S013040,B2AD87,fecal
S013090,B1E8F3,fecal
S013002,B727B5,fecal
S013022,B1EBD1,fecal
S013021,B1E937,fecal
S013011,B25F2E,fecal
S013061,B2B1FB,fecal
S013031,B2CB5B,fecal
S013050,B2CA08,fecal
S013020,B2B0F4,fecal
S013051,B2CA28,fecal
S013003,B2B22C,fecal
S013001,B2C885,fecal
S013023,B1F0E0,fecal
S013053,B2CA34,fecal
S013072,B2CB86,fecal
S013091,B26718,fecal
S013012,B1F36A,fecal
S013092,B1FDA8,fecal
S013013,B715E9,fecal
S013081,B1E43A,fecal
S013060,B716EA,fecal
S013043,B25284,fecal
S013083,B2076C,fecal
S013062,B7184D,fecal
S013032,B1FD14,fecal
S013041,B20208,fecal
S013054,B24FFD,fecal
S013082,B715FA,fecal
S013042,B7152B,fecal
S013064,A21A3C,fecal
S013074,B24F62,fecal
S013084,B26A52,fecal
S013044,B2CAF9,fecal
S013004,B2CCE9,fecal
S013052,B2CA37,fecal
S013033,B73C96,fecal
S013070,B73E1D,fecal
S013034,A64E43,fecal
S013073,B20288,fecal
S013093,B1F40D,fecal
S013024,B2C88F,fecal
S013063,B2B0CE,fecal
S013014,B20EEF,fecal
S013094,B205AF,fecal
S013039,B1EA14,fecal
S013089,B72420,fecal
S013018,B2AECC,fecal
S013029,B2C777,fecal
S013069,B21078,fecal
S013048,B73F00,fecal
S013079,A651AF,fecal
S013068,B2C895,fecal
S013009,B2D1B5,fecal
S013047,B73D4A,fecal
S013099,B1DC22,fecal
S013097,B265A9,fecal
S013087,B1D9DA,fecal
S013057,B250F2,fecal
S013026,B2C59C,fecal
S013007,B1E17A,fecal
S013059,B2D268,fecal
S013076,B2B4A5,fecal
S013028,B7145A,fecal
S013078,B1DA9B,fecal
S013098,B2D1BC,fecal
S013058,B2D1D2,fecal
S013095,B26E1D,fecal
S013056,B2B398,fecal
S013088,B1DB12,fecal
S013035,B2C748,fecal
S013017,B2D76D,fecal
S013067,B71163,fecal
S013008,B1E139,fecal
S013005,B1DB93,fecal
S013055,B1D9E2,fecal
S013016,B20652,fecal
S013077,B7144D,fecal
S013046,NA,fecal
S013038,NA,fecal
S013085,NA,fecal
S013037,NA,fecal
S013075,NA,fecal
S013086,NA,fecal
S013065,NA,fecal
S013015,NA,fecal
S013049,B1E35E,fecal
S013006,A511AD,fecal
S013066,B2C651,fecal
S013045,B1EAA2,fecal
S013036,B267CC,fecal
S013025,B710B8,fecal
S013019,B2B1D4,fecal
S013027,B2C81F,fecal
S012859,B20213,fecal
S012805,B206ED,fecal
S012849,B2B393,fecal
S012869,B20631,fecal
S012878,B2CE4E,fecal
S012839,B2B49A,fecal
S012889,B2C9C8,fecal
S012858,B1F4E6,fecal