"OTU.ID","k","p","c","o","Family","Genus","SciName"
"OTU4","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"OTU9","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU17","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU19","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Croton","Croton kongensis"
"OTU7","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
"OTU13","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"OTU10","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU8","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Lepidium","Lepidium virginicum"
"OTU16","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Astragalus","Astragalus membranaceus"
"OTU18","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"OTU15","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Tenaxia","Tenaxia guillarmodiae"
"OTU33","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU49","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"OTU37","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Erigeron","Erigeron annuus"
"OTU43","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Vachellia","Vachellia rehmanniana"
"OTU26","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista nigricans"
"OTU28","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Astragalus","Astragalus membranaceus"
"OTU40","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU22","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU127","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Erigeron","Erigeron annuus"
"OTU56","Eukaryota","Streptophyta","None","Boraginales","Boraginaceae","Oreocarya","Oreocarya crymophila"
"OTU29","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
"OTU23","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helichrysum","Helichrysum arenarium"
"OTU50","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"OTU35","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"OTU55","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU63","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU21","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU91","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU69","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU36","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Vitex","Vitex trifolia"
"OTU30","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU44","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Sigesbeckia","Sigesbeckia orientalis"
"OTU45","Eukaryota","Streptophyta","None","Boraginales","Boraginaceae","Oreocarya","Oreocarya flavoculata"
"OTU135","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU70","Eukaryota","Streptophyta","None","Myrtales","Onagraceae","Oenothera","Oenothera odorata"
"OTU67","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU421","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU54","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Lupinus","Lupinus sp. AT-2012"
"OTU756","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Archidendron","Archidendron dalatense"
"OTU75","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU57","Eukaryota","Streptophyta","None","Lamiales","Acanthaceae","Clinacanthus","Clinacanthus nutans"
"OTU39","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Lupinus","Lupinus sp. AT-2012"
"OTU98","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU88","Eukaryota","Streptophyta","None","Caryophyllales","Chenopodiaceae","Atriplex","Atriplex sp. Yeelirrie Station"
"OTU64","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Sorghum","Sorghum bicolor"
"OTU71","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"OTU73","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU76","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU68","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Cichorium","Cichorium glandulosum"
"OTU81","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Cichorium","Cichorium glandulosum"
"OTU66","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Lavatera","Lavatera cashemiriana"
"OTU89","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU116","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU77","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Cynodon","Cynodon dactylon"
"OTU97","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU95","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna occidentalis"
"OTU125","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU104","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU123","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU297","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU281","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU498","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU497","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU83","Eukaryota","Streptophyta","None","Caryophyllales","Talinaceae","Talinum","Talinum paniculatum"
"OTU117","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU220","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Erigeron","Erigeron annuus"
"OTU366","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU420","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU87","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Sigesbeckia","Sigesbeckia orientalis"
"OTU339","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU84","Eukaryota","Streptophyta","None","Apiales","Apiaceae","Ferula","Ferula akitschkensis"
"OTU632","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU200","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU424","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU671","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU100","Eukaryota","Streptophyta","None","Myrtales","Lythraceae","Lagerstroemia","Lagerstroemia tomentosa"
"OTU361","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU446","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU434","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU102","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Sporobolus","Sporobolus maritimus"
"OTU405","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU114","Eukaryota","Streptophyta","None","Solanales","Convolvulaceae","Convolvulus","Convolvulus arvensis"
"OTU94","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Kallstroemia","Kallstroemia parviflora"
"OTU103","Eukaryota","Streptophyta","None","Caryophyllales","Cactaceae","Stenocereus","Stenocereus stellatus"
"OTU336","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU556","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU96","Eukaryota","Streptophyta","None","Caryophyllales","Talinaceae","Talinum","Talinum paniculatum"
"OTU571","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU136","Eukaryota","Streptophyta","None","Rosales","Rosaceae","Rubus","Rubus cochinchinensis"
"OTU134","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU112","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU122","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU305","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU417","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU118","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU249","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU198","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna occidentalis"
"OTU551","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU380","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU146","Eukaryota","Streptophyta","None","Ranunculales","Ranunculaceae","Aconitum","Aconitum kusnezoffii"
"OTU465","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU128","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU195","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna occidentalis"
"OTU148","Eukaryota","Streptophyta","None","Solanales","Solanaceae","Solanum","Solanum nigrum"
"OTU532","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU126","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
"OTU228","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"OTU111","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU140","Eukaryota","Streptophyta","None","Solanales","Convolvulaceae","Convolvulus","Convolvulus arvensis"
"OTU113","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
"OTU689","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU910","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU131","Eukaryota","Streptophyta","None","Rosales","Rosaceae","Rubus","Rubus cochinchinensis"
"OTU570","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU523","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU145","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Archidendron","Archidendron dalatense"
"OTU383","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU278","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU758","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU872","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU442","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU129","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU301","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU121","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
"OTU770","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU192","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Abutilon","Abutilon theophrasti"
"OTU429","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU206","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Glycine","Glycine tomentella"
"OTU138","Eukaryota","Streptophyta","None","Rosales","Elaeagnaceae","Hippophae","Hippophae rhamnoides"
"OTU826","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU160","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Sphaeralcea","Sphaeralcea wrightii"
"OTU214","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"OTU188","Eukaryota","Streptophyta","None","Caryophyllales","Chenopodiaceae","Atriplex","Atriplex sp. Yeelirrie Station"
"OTU609","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU181","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Vachellia","Vachellia rehmanniana"
"OTU226","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU171","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"OTU201","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista mimosoides"
"OTU189","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Bahia","Bahia absinthifolia"
"OTU325","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Vachellia","Vachellia rehmanniana"
"OTU812","Viruses","None","None","None","Microviridae","Microvirus","Enterobacteria phage phiX174 sensu lato"
"OTU176","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Triticum","Triticum turgidum"
"OTU191","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Triticum","Triticum turgidum"
"OTU165","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Callicarpa","Callicarpa nudiflora"
"OTU473","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU154","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Vachellia","Vachellia rehmanniana"
"OTU170","Eukaryota","Streptophyta","None","Lamiales","Acanthaceae","Justicia","Justicia gendarussa"
"OTU208","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
"OTU177","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"OTU173","Eukaryota","Streptophyta","None","Ephedrales","Ephedraceae","Ephedra","Ephedra sinica"
"OTU202","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Anisomeles","Anisomeles indica"
"OTU312","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU169","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Vachellia","Vachellia rehmanniana"
"OTU436","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU650","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria macrocarpa"
"OTU291","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae"
"OTU425","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU205","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae"
"OTU719","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista mimosoides"
"OTU157","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
"OTU211","Eukaryota","Streptophyta","None","Rosales","Cannabaceae","Cannabis","Cannabis sativa"
"OTU875","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU342","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU182","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Tenaxia","Tenaxia guillarmodiae"
"OTU322","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Anisomeles","Anisomeles indica"
"OTU615","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU391","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU276","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"OTU180","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU341","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU219","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"OTU190","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"OTU284","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"OTU256","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum japonicum"
"OTU221","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista mimosoides"
"OTU797","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU522","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU283","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU230","Eukaryota","Streptophyta","None","Lamiales","Acanthaceae","Justicia","Justicia gendarussa"
"OTU803","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU237","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU402","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Sigesbeckia","Sigesbeckia orientalis"
"OTU269","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU340","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia serrula"
"OTU250","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
"OTU575","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"OTU457","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"OTU335","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU323","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU817","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU209","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"OTU185","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU795","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"OTU882","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"OTU327","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"OTU484","Eukaryota","Streptophyta","None","Myrtales","Onagraceae","Oenothera","Oenothera odorata"
"OTU234","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU641","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU635","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU212","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Lavatera","Lavatera cashemiriana"
"OTU345","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Cynodon","Cynodon dactylon"
"OTU227","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU511","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU334","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"OTU252","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU260","Eukaryota","Streptophyta","None","Caryophyllales","Nyctaginaceae","Acleisanthes","Acleisanthes chenopodioides"
"OTU274","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU314","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
"OTU357","Eukaryota","Streptophyta","None","Ephedrales","Ephedraceae","Ephedra","Ephedra sinica"
"OTU462","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria medicaginea"
"OTU848","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"OTU586","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"OTU324","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU337","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista mimosoides"
"OTU203","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago schischkinii"
"OTU275","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae"
"OTU286","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
"OTU264","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU728","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"OTU242","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU409","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum cyrtophyllum"
"OTU428","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU647","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU504","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU351","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU338","Eukaryota","Streptophyta","None","Myrtales","Onagraceae","Oenothera","Oenothera odorata"
"OTU468","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"OTU589","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae"
"OTU239","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum japonicum"
