"OTU.ID","k","p","c","o","Family","Genus","SciName"
"OTU474","Eukaryota","Streptophyta","None","Caryophyllales","Chenopodiaceae","Atriplex","Atriplex sp. Yeelirrie Station"
"OTU621","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Sorghum","Sorghum bicolor"
"OTU225","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU574","Eukaryota","Streptophyta","None","Caryophyllales","Chenopodiaceae","Atriplex","Atriplex sp. Yeelirrie Station"
"OTU258","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"OTU535","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU539","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU494","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU467","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"OTU557","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum japonicum"
"OTU598","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU805","Eukaryota","Streptophyta","None","Solanales","Convolvulaceae","Convolvulus","Convolvulus arvensis"
"OTU316","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU304","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"OTU238","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU785","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
"OTU773","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU718","Eukaryota","Streptophyta","None","Lamiales","Acanthaceae","Thunbergia","Thunbergia grandiflora"
"OTU407","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU300","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU350","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU559","Eukaryota","Streptophyta","None","Boraginales","Boraginaceae","Oreocarya","Oreocarya subretusa"
"OTU303","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"OTU760","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"OTU555","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"OTU843","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Lupinus","Lupinus sp. AT-2012"
"OTU742","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Abutilon","Abutilon theophrasti"
"OTU433","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Astragalus","Astragalus membranaceus"
"OTU727","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista nigricans"
"OTU842","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU560","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae"
"OTU439","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU521","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU707","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU865","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU298","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Abutilon","Abutilon theophrasti"
"OTU435","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Erigeron","Erigeron annuus"
"OTU558","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU588","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Kallstroemia","Kallstroemia parviflora"
"OTU240","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"OTU821","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Vitex","Vitex trifolia"
"OTU601","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU329","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU410","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum thomsoniae"
"OTU819","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU684","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Archidendron","Archidendron dalatense"
"OTU385","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"OTU375","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"OTU636","Eukaryota","Streptophyta","None","Solanales","Solanaceae","Solanum","Solanum nienkui"
"OTU330","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU616","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU313","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum cyrtophyllum"
"OTU724","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU792","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"OTU318","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna occidentalis"
"OTU766","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"OTU463","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU306","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Saussurea","Saussurea sordida"
"OTU624","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU879","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU660","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU774","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Archidendron","Archidendron dalatense"
"OTU348","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU464","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU309","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU794","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria medicaginea"
"OTU552","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"OTU768","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"OTU448","Eukaryota","Streptophyta","None","Myrtales","Onagraceae","Oenothera","Oenothera odorata"
"OTU423","Eukaryota","Streptophyta","None","Myrtales","Onagraceae","Oenothera","Oenothera odorata"
"OTU538","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU372","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU441","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"OTU516","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
"OTU243","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU607","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU692","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU900","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU572","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Lupinus","Lupinus sp. AT-2012"
"OTU911","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU667","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU469","Eukaryota","Streptophyta","None","Ranunculales","Ranunculaceae","Aconitum","Aconitum kusnezoffii"
"OTU763","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU852","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"OTU858","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Kallstroemia","Kallstroemia parviflora"
"OTU889","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU518","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU282","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU893","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU686","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU670","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU279","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU491","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"OTU834","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Viguiera","Viguiera eriophora"
"OTU860","Eukaryota","Streptophyta","None","Ranunculales","Papaveraceae","Papaver","Papaver canescens"
"OTU493","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna occidentalis"
"OTU662","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU896","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU642","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU651","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"OTU772","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU374","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU289","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU332","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU514","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU669","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU838","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU449","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU363","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"OTU676","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU677","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU460","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista pascuorum"
"OTU346","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU881","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"OTU871","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU437","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU902","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Lepidium","Lepidium ruderale"
"OTU333","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU836","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria axillaris"
"OTU652","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Croton","Croton kongensis"
"OTU508","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Croton","Croton kongensis"
"OTU623","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU492","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU526","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU657","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU777","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"OTU868","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista nigricans"
"OTU606","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU533","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU593","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU846","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU783","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU759","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Archidendron","Archidendron dalatense"
"OTU378","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU829","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU712","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna alata"
"OTU776","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU668","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU754","Eukaryota","Streptophyta","None","Boraginales","Boraginaceae","Dasynotus","Dasynotus daubenmirei"
"OTU543","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU513","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea lanata"
"OTU515","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Acourtia","Acourtia nana"
"OTU379","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU827","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU913","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU564","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Callicarpa","Callicarpa nudiflora"
"OTU645","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU648","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helichrysum","Helichrysum arenarium"
"OTU743","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU371","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"OTU683","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU581","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU861","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU656","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Erigeron","Erigeron annuus"
"OTU394","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"OTU638","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Astragalus","Astragalus membranaceus"
"OTU761","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU909","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista nigricans"
"OTU529","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU908","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU907","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"OTU888","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU661","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU479","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU859","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU748","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU780","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna alata"
"OTU711","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"OTU488","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU862","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU440","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU452","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Archidendron","Archidendron dalatense"
"OTU389","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU737","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU368","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"OTU482","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU906","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"OTU483","Eukaryota","Streptophyta","None","Boraginales","Boraginaceae","Oreocarya","Oreocarya crymophila"
"OTU384","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU398","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU399","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Lupinus","Lupinus sp. AT-2012"
"OTU680","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
"OTU892","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU844","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU506","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU505","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU840","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"OTU813","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU717","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"OTU681","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU673","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU751","Eukaryota","Streptophyta","None","Solanales","Solanaceae","Solanum","Solanum nienkui"
"OTU596","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU597","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU550","Eukaryota","Streptophyta","None","Lamiales","Acanthaceae","Thunbergia","Thunbergia grandiflora"
"OTU798","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Astragalus","Astragalus membranaceus"
"OTU454","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU876","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU536","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU416","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU741","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU789","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU478","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU775","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"OTU576","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Lepidium","Lepidium virginicum"
"OTU517","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Lavatera","Lavatera cashemiriana"
"OTU415","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista nigricans"
"OTU566","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU422","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU495","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU427","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Vachellia","Vachellia rehmanniana"
"OTU869","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU355","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU695","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"OTU899","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU749","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"OTU704","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU816","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU700","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"OTU665","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"OTU524","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Sigesbeckia","Sigesbeckia orientalis"
"OTU730","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU561","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Viguiera","Viguiera eriophora"
"OTU823","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"OTU878","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU731","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna alata"
"OTU487","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"OTU845","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU804","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU365","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU353","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"OTU705","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Medicago","Medicago truncatula"
