"WeeTU","Sample","Reads"
"748.WeeTU","S008867",2
"892.WeeTU","S008867",2
"673.WeeTU","S008867",2
"597.WeeTU","S008867",2
"789.WeeTU","S008867",2
"478.WeeTU","S008867",2
"775.WeeTU","S008867",2
"566.WeeTU","S008867",2
"422.WeeTU","S008867",2
"495.WeeTU","S008867",2
"869.WeeTU","S008867",2
"816.WeeTU","S008867",2
"700.WeeTU","S008867",2
"723.WeeTU","S008867",7
"267.WeeTU","S008867",10
"822.WeeTU","S008867",2
"266.WeeTU","S008867",22
"223.WeeTU","S008867",12
"752.WeeTU","S008867",5
"392.WeeTU","S008867",2
"617.WeeTU","S008867",2
"490.WeeTU","S008867",2
"496.WeeTU","S008867",2
"297.WeeTU","S008875",1
"281.WeeTU","S008875",2
"497.WeeTU","S008875",1
"420.WeeTU","S008875",1
"339.WeeTU","S008875",3
"632.WeeTU","S008875",3
"361.WeeTU","S008875",1
"434.WeeTU","S008875",1
"405.WeeTU","S008875",3
"556.WeeTU","S008875",1
"305.WeeTU","S008875",1
"465.WeeTU","S008875",2
"429.WeeTU","S008875",1
"812.WeeTU","S008875",1
"23.WeeTU","S008877",2535
"297.WeeTU","S008877",1
"497.WeeTU","S008877",1
"420.WeeTU","S008877",1
"339.WeeTU","S008877",1
"632.WeeTU","S008877",1
"417.WeeTU","S008877",1
"551.WeeTU","S008877",1
"380.WeeTU","S008877",1
"465.WeeTU","S008877",1
"532.WeeTU","S008877",1
"609.WeeTU","S008877",1
"648.WeeTU","S008877",2
"70.WeeTU","S008819",1460
"281.WeeTU","S008819",4
"497.WeeTU","S008819",2
"366.WeeTU","S008819",1
"632.WeeTU","S008819",1
"671.WeeTU","S008819",1
"361.WeeTU","S008819",1
"305.WeeTU","S008819",1
"417.WeeTU","S008819",1
"484.WeeTU","S008819",11
"338.WeeTU","S008819",2
"448.WeeTU","S008819",4
"423.WeeTU","S008819",4
"297.WeeTU","S008886",4
"281.WeeTU","S008886",1
"497.WeeTU","S008886",1
"366.WeeTU","S008886",1
"671.WeeTU","S008886",1
"434.WeeTU","S008886",1
"405.WeeTU","S008886",1
"305.WeeTU","S008886",1
"380.WeeTU","S008886",1
"465.WeeTU","S008886",1
"58.WeeTU","S008886",543
"78.WeeTU","S008886",9
"17.WeeTU","S008865",142
"18.WeeTU","S008865",121
"37.WeeTU","S008865",13
"70.WeeTU","S008865",88
"297.WeeTU","S008865",1
"281.WeeTU","S008865",1
"420.WeeTU","S008865",1
"339.WeeTU","S008865",1
"671.WeeTU","S008865",1
"114.WeeTU","S008865",10
"556.WeeTU","S008865",1
"551.WeeTU","S008865",1
"523.WeeTU","S008865",1
"274.WeeTU","S008865",8
"338.WeeTU","S008865",6
"93.WeeTU","S008865",31
"11.WeeTU","S008865",30
"58.WeeTU","S008865",63
"186.WeeTU","S008865",25
"90.WeeTU","S008865",11
"8.WeeTU","S008882",87
"55.WeeTU","S008882",458
"135.WeeTU","S008882",17
"88.WeeTU","S008882",22
"366.WeeTU","S008882",1
"446.WeeTU","S008882",1
"114.WeeTU","S008882",20
"556.WeeTU","S008882",1
"305.WeeTU","S008882",1
"465.WeeTU","S008882",1
"128.WeeTU","S008882",93
"532.WeeTU","S008882",1
"910.WeeTU","S008882",1
"173.WeeTU","S008882",22
"269.WeeTU","S008882",13
"635.WeeTU","S008882",11
"357.WeeTU","S008882",10
"82.WeeTU","S008882",286
"58.WeeTU","S008882",18
"222.WeeTU","S008882",16
"851.WeeTU","S008882",2
"78.WeeTU","S008882",17
"90.WeeTU","S008882",198
"187.WeeTU","S008882",28
"904.WeeTU","S008882",8
"753.WeeTU","S008882",3
"762.WeeTU","S008882",7
"287.WeeTU","S008882",11
"714.WeeTU","S008882",12
"215.WeeTU","S008882",43
"320.WeeTU","S008882",3
"582.WeeTU","S008882",5
"769.WeeTU","S008882",5
"426.WeeTU","S008882",9
"807.WeeTU","S008882",7
"540.WeeTU","S008882",3
"790.WeeTU","S008882",3
"381.WeeTU","S008882",2
"618.WeeTU","S008882",6
"459.WeeTU","S008882",2
"546.WeeTU","S008882",5
"370.WeeTU","S008882",3
"874.WeeTU","S008882",2
"317.WeeTU","S008882",3
"725.WeeTU","S008882",2
"431.WeeTU","S008882",2
"806.WeeTU","S008882",2
"835.WeeTU","S008882",2
"56.WeeTU","S009047",67
"23.WeeTU","S009047",226
"55.WeeTU","S009047",63
"98.WeeTU","S009047",57
"497.WeeTU","S009047",2
"366.WeeTU","S009047",2
"632.WeeTU","S009047",2
"424.WeeTU","S009047",1
"671.WeeTU","S009047",1
"446.WeeTU","S009047",1
"405.WeeTU","S009047",1
"134.WeeTU","S009047",2
"305.WeeTU","S009047",1
"417.WeeTU","S009047",2
"465.WeeTU","S009047",1
"910.WeeTU","S009047",1
"188.WeeTU","S009047",4
"24.WeeTU","S009047",102
"58.WeeTU","S009047",25
"78.WeeTU","S009047",32
"161.WeeTU","S009047",48
"387.WeeTU","S009047",3
"35.WeeTU","S009000",2049
"71.WeeTU","S009000",789
"297.WeeTU","S009000",4
"281.WeeTU","S009000",1
"497.WeeTU","S009000",1
"366.WeeTU","S009000",2
"420.WeeTU","S009000",2
"339.WeeTU","S009000",1
"632.WeeTU","S009000",4
"671.WeeTU","S009000",4
"361.WeeTU","S009000",1
"446.WeeTU","S009000",6
"434.WeeTU","S009000",3
"305.WeeTU","S009000",1
"417.WeeTU","S009000",2
"551.WeeTU","S009000",3
"380.WeeTU","S009000",1
"532.WeeTU","S009000",1
"910.WeeTU","S009000",2
"523.WeeTU","S009000",1
"429.WeeTU","S009000",2
"219.WeeTU","S009000",16
"284.WeeTU","S009000",15
"575.WeeTU","S009000",12
"385.WeeTU","S009000",5
"651.WeeTU","S009000",3
"368.WeeTU","S009000",2
"764.WeeTU","S009000",2
"43.WeeTU","S008878",7
"67.WeeTU","S008878",298
"297.WeeTU","S008878",3
"497.WeeTU","S008878",2
"420.WeeTU","S008878",1
"339.WeeTU","S008878",1
"632.WeeTU","S008878",3
"361.WeeTU","S008878",4
"446.WeeTU","S008878",1
"434.WeeTU","S008878",2
"405.WeeTU","S008878",4
"417.WeeTU","S008878",2
"465.WeeTU","S008878",1
"532.WeeTU","S008878",3
"126.WeeTU","S008878",86
"383.WeeTU","S008878",60
"190.WeeTU","S008878",15
"20.WeeTU","S008878",26
"32.WeeTU","S008878",94
"41.WeeTU","S008878",376
"59.WeeTU","S008878",1816
"60.WeeTU","S008878",81
"153.WeeTU","S008878",57
"85.WeeTU","S008878",288
"167.WeeTU","S008878",27
"229.WeeTU","S008878",22
"164.WeeTU","S008878",29
"432.WeeTU","S008878",3
"563.WeeTU","S008878",6
"390.WeeTU","S008878",2
"584.WeeTU","S008878",4
"877.WeeTU","S008878",2
"43.WeeTU","S008828",1787
"297.WeeTU","S008828",4
"281.WeeTU","S008828",3
"497.WeeTU","S008828",1
"366.WeeTU","S008828",1
"420.WeeTU","S008828",5
"632.WeeTU","S008828",3
"424.WeeTU","S008828",3
"361.WeeTU","S008828",2
"446.WeeTU","S008828",3
"405.WeeTU","S008828",1
"556.WeeTU","S008828",2
"417.WeeTU","S008828",1
"551.WeeTU","S008828",1
"380.WeeTU","S008828",1
"532.WeeTU","S008828",1
"910.WeeTU","S008828",1
"523.WeeTU","S008828",1
"429.WeeTU","S008828",1
"181.WeeTU","S008828",28
"325.WeeTU","S008828",23
"427.WeeTU","S008828",2
"101.WeeTU","S008828",123
"20.WeeTU","S008828",25
"32.WeeTU","S008828",20
"41.WeeTU","S008828",12
"297.WeeTU","S009048",1
"281.WeeTU","S009048",1
"497.WeeTU","S009048",1
"366.WeeTU","S009048",1
"420.WeeTU","S009048",1
"339.WeeTU","S009048",2
"632.WeeTU","S009048",1
"424.WeeTU","S009048",1
"671.WeeTU","S009048",1
"361.WeeTU","S009048",1
"446.WeeTU","S009048",1
"434.WeeTU","S009048",3
"556.WeeTU","S009048",3
"305.WeeTU","S009048",2
"417.WeeTU","S009048",1
"551.WeeTU","S009048",1
"465.WeeTU","S009048",1
"910.WeeTU","S009048",1
"523.WeeTU","S009048",1
"65.WeeTU","S009048",1781
"60.WeeTU","S009048",2934
"224.WeeTU","S009048",362
"501.WeeTU","S009048",291
"745.WeeTU","S009048",2
"408.WeeTU","S009048",7
"674.WeeTU","S009048",2
"885.WeeTU","S009048",2
"450.WeeTU","S009048",3
"297.WeeTU","S008868",2
"281.WeeTU","S008868",1
"497.WeeTU","S008868",3
"366.WeeTU","S008868",4
"420.WeeTU","S008868",1
"339.WeeTU","S008868",2
"632.WeeTU","S008868",3
"424.WeeTU","S008868",2
"671.WeeTU","S008868",2
"361.WeeTU","S008868",2
"446.WeeTU","S008868",1
"434.WeeTU","S008868",1
"556.WeeTU","S008868",1
"380.WeeTU","S008868",3
"465.WeeTU","S008868",1
"532.WeeTU","S008868",1
"20.WeeTU","S008868",1
"41.WeeTU","S008868",1
"6.WeeTU","S008868",5943
"52.WeeTU","S008868",1
"232.WeeTU","S008868",30
"740.WeeTU","S008868",7
"470.WeeTU","S008868",2
"132.WeeTU","S008868",54
"369.WeeTU","S008868",3
"253.WeeTU","S008868",19
"510.WeeTU","S008868",12
"270.WeeTU","S008868",16
"755.WeeTU","S008868",7
"349.WeeTU","S008868",6
"837.WeeTU","S008868",6
"307.WeeTU","S008868",7
"709.WeeTU","S008868",6
"685.WeeTU","S008868",5
"414.WeeTU","S008868",2
"699.WeeTU","S008868",5
"288.WeeTU","S008868",4
"13.WeeTU","S008889",799
"22.WeeTU","S008889",3018
"29.WeeTU","S008889",23
"281.WeeTU","S008889",1
"366.WeeTU","S008889",3
"420.WeeTU","S008889",1
"632.WeeTU","S008889",1
"671.WeeTU","S008889",1
"446.WeeTU","S008889",4
"434.WeeTU","S008889",2
"405.WeeTU","S008889",1
"556.WeeTU","S008889",1
"305.WeeTU","S008889",1
"551.WeeTU","S008889",1
"380.WeeTU","S008889",1
"465.WeeTU","S008889",1
"532.WeeTU","S008889",1
"228.WeeTU","S008889",85
"523.WeeTU","S008889",1
"283.WeeTU","S008889",14
"394.WeeTU","S008889",2
"41.WeeTU","S008889",20
"6.WeeTU","S008889",60
"2.WeeTU","S008889",224
"60.WeeTU","S008889",64
"297.WeeTU","S009008",1
"281.WeeTU","S009008",6
"632.WeeTU","S009008",1
"424.WeeTU","S009008",3
"671.WeeTU","S009008",2
"446.WeeTU","S009008",1
"434.WeeTU","S009008",1
"405.WeeTU","S009008",1
"556.WeeTU","S009008",1
"417.WeeTU","S009008",1
"551.WeeTU","S009008",1
"465.WeeTU","S009008",1
"2.WeeTU","S009008",9813
"210.WeeTU","S009008",11
"251.WeeTU","S009008",15
"293.WeeTU","S009008",1
"820.WeeTU","S009008",3
"643.WeeTU","S009008",2
"67.WeeTU","S008858",1213
"297.WeeTU","S008858",3
"281.WeeTU","S008858",2
"497.WeeTU","S008858",1
"632.WeeTU","S008858",2
"671.WeeTU","S008858",2
"405.WeeTU","S008858",1
"556.WeeTU","S008858",2
"305.WeeTU","S008858",1
"417.WeeTU","S008858",1
"465.WeeTU","S008858",1
"910.WeeTU","S008858",1
"129.WeeTU","S008858",53
"297.WeeTU","S008859",2
"281.WeeTU","S008859",2
"497.WeeTU","S008859",3
"366.WeeTU","S008859",4
"420.WeeTU","S008859",2
"339.WeeTU","S008859",3
"632.WeeTU","S008859",3
"424.WeeTU","S008859",2
"671.WeeTU","S008859",3
"361.WeeTU","S008859",1
"446.WeeTU","S008859",1
"434.WeeTU","S008859",1
"405.WeeTU","S008859",1
"556.WeeTU","S008859",1
"305.WeeTU","S008859",2
"417.WeeTU","S008859",1
"551.WeeTU","S008859",1
"380.WeeTU","S008859",2
"532.WeeTU","S008859",2
"523.WeeTU","S008859",2
"2.WeeTU","S008859",1
"299.WeeTU","S008859",26
"583.WeeTU","S008859",8
"183.WeeTU","S008859",16
"196.WeeTU","S008859",17
"9.WeeTU","S008898",5
"17.WeeTU","S008898",1
"8.WeeTU","S008898",1
"49.WeeTU","S008898",2
"37.WeeTU","S008898",2
"26.WeeTU","S008898",1
"50.WeeTU","S008898",2
"297.WeeTU","S008898",2
"281.WeeTU","S008898",3
"497.WeeTU","S008898",1
"220.WeeTU","S008898",1
"366.WeeTU","S008898",3
"420.WeeTU","S008898",3
"339.WeeTU","S008898",3
"632.WeeTU","S008898",1
"424.WeeTU","S008898",1
"671.WeeTU","S008898",2
"446.WeeTU","S008898",5
"405.WeeTU","S008898",2
"417.WeeTU","S008898",2
"551.WeeTU","S008898",2
"380.WeeTU","S008898",1
"532.WeeTU","S008898",2
"910.WeeTU","S008898",1
"242.WeeTU","S008898",1
"20.WeeTU","S008898",1
"6.WeeTU","S008898",2
"27.WeeTU","S008898",5
"14.WeeTU","S008898",5
"58.WeeTU","S008898",1
"46.WeeTU","S008898",1
"34.WeeTU","S008898",7
"299.WeeTU","S008898",1
"63.WeeTU","S009009",1965
"366.WeeTU","S009009",3
"420.WeeTU","S009009",2
"339.WeeTU","S009009",1
"632.WeeTU","S009009",3
"424.WeeTU","S009009",1
"361.WeeTU","S009009",1
"434.WeeTU","S009009",1
"405.WeeTU","S009009",1
"305.WeeTU","S009009",3
"465.WeeTU","S009009",1
"910.WeeTU","S009009",1
"504.WeeTU","S009009",9
"834.WeeTU","S009009",3
"840.WeeTU","S009009",2
"561.WeeTU","S009009",2
"297.WeeTU","S008888",1
"281.WeeTU","S008888",1
"420.WeeTU","S008888",1
"339.WeeTU","S008888",1
"632.WeeTU","S008888",1
"424.WeeTU","S008888",3
"361.WeeTU","S008888",2
"446.WeeTU","S008888",4
"434.WeeTU","S008888",2
"551.WeeTU","S008888",1
"910.WeeTU","S008888",1
"523.WeeTU","S008888",1
"872.WeeTU","S008888",1
"41.WeeTU","S008888",612
"297.WeeTU","S008849",2
"497.WeeTU","S008849",1
"366.WeeTU","S008849",2
"632.WeeTU","S008849",1
"671.WeeTU","S008849",1
"361.WeeTU","S008849",1
"556.WeeTU","S008849",1
"465.WeeTU","S008849",2
"14.WeeTU","S008849",3671
"61.WeeTU","S008849",1
"236.WeeTU","S008849",57
"497.WeeTU","S009045",2
"366.WeeTU","S009045",4
"420.WeeTU","S009045",1
"339.WeeTU","S009045",1
"632.WeeTU","S009045",1
"424.WeeTU","S009045",1
"361.WeeTU","S009045",1
"446.WeeTU","S009045",1
"434.WeeTU","S009045",2
"405.WeeTU","S009045",1
"305.WeeTU","S009045",1
"380.WeeTU","S009045",2
"910.WeeTU","S009045",1
"812.WeeTU","S009045",1
"742.WeeTU","S009045",6
"298.WeeTU","S009045",6
"10.WeeTU","S009028",4
"8.WeeTU","S009028",4
"29.WeeTU","S009028",1868
"297.WeeTU","S009028",1
"497.WeeTU","S009028",3
"366.WeeTU","S009028",2
"632.WeeTU","S009028",1
"424.WeeTU","S009028",1
"671.WeeTU","S009028",1
"556.WeeTU","S009028",1
"305.WeeTU","S009028",1
"417.WeeTU","S009028",1
"249.WeeTU","S009028",1
"910.WeeTU","S009028",1
"523.WeeTU","S009028",2
"872.WeeTU","S009028",1
"314.WeeTU","S009028",10
"32.WeeTU","S009028",1
"3.WeeTU","S009028",3
"14.WeeTU","S009028",1
"236.WeeTU","S009028",1
"7.WeeTU","S009035",227
"281.WeeTU","S009035",1
"497.WeeTU","S009035",2
"366.WeeTU","S009035",1
"339.WeeTU","S009035",1
"632.WeeTU","S009035",1
"424.WeeTU","S009035",2
"671.WeeTU","S009035",1
"405.WeeTU","S009035",1
"532.WeeTU","S009035",1
"812.WeeTU","S009035",1
"281.WeeTU","S009018",3
"420.WeeTU","S009018",1
"424.WeeTU","S009018",2
"671.WeeTU","S009018",4
"361.WeeTU","S009018",1
"446.WeeTU","S009018",1
"405.WeeTU","S009018",1
"556.WeeTU","S009018",3
"417.WeeTU","S009018",1
"465.WeeTU","S009018",2
"532.WeeTU","S009018",1
"910.WeeTU","S009018",1
"429.WeeTU","S009018",1
"51.WeeTU","S009018",696
"105.WeeTU","S009018",435
"903.WeeTU","S009018",2
"373.WeeTU","S009018",2
"833.WeeTU","S009018",2
"17.WeeTU","S008829",794
"297.WeeTU","S008829",2
"281.WeeTU","S008829",2
"497.WeeTU","S008829",1
"366.WeeTU","S008829",1
"420.WeeTU","S008829",2
"632.WeeTU","S008829",1
"424.WeeTU","S008829",2
"671.WeeTU","S008829",2
"446.WeeTU","S008829",1
"434.WeeTU","S008829",1
"405.WeeTU","S008829",2
"305.WeeTU","S008829",1
"417.WeeTU","S008829",2
"551.WeeTU","S008829",1
"532.WeeTU","S008829",1
"113.WeeTU","S008829",72
"121.WeeTU","S008829",51
"157.WeeTU","S008829",20
"250.WeeTU","S008829",12
"274.WeeTU","S008829",1
"238.WeeTU","S008829",1
"865.WeeTU","S008829",2
"879.WeeTU","S008829",5
"348.WeeTU","S008829",1
"464.WeeTU","S008829",1
"516.WeeTU","S008829",4
"858.WeeTU","S008829",4
"514.WeeTU","S008829",3
"346.WeeTU","S008829",3
"680.WeeTU","S008829",2
"705.WeeTU","S008829",2
"17.WeeTU","S008848",5769
"281.WeeTU","S008848",2
"420.WeeTU","S008848",2
"339.WeeTU","S008848",2
"632.WeeTU","S008848",1
"671.WeeTU","S008848",1
"446.WeeTU","S008848",1
"434.WeeTU","S008848",1
"556.WeeTU","S008848",1
"305.WeeTU","S008848",1
"551.WeeTU","S008848",1
"380.WeeTU","S008848",2
"111.WeeTU","S008848",83
"522.WeeTU","S008848",14
"274.WeeTU","S008848",1
"238.WeeTU","S008848",6
"300.WeeTU","S008848",7
"865.WeeTU","S008848",4
"601.WeeTU","S008848",5
"348.WeeTU","S008848",4
"464.WeeTU","S008848",4
"900.WeeTU","S008848",4
"642.WeeTU","S008848",3
"772.WeeTU","S008848",3
"449.WeeTU","S008848",3
"623.WeeTU","S008848",2
"492.WeeTU","S008848",2
"526.WeeTU","S008848",2
"657.WeeTU","S008848",2
"783.WeeTU","S008848",2
"829.WeeTU","S008848",2
"543.WeeTU","S008848",2
"743.WeeTU","S008848",2
"761.WeeTU","S008848",2
"908.WeeTU","S008848",2
"888.WeeTU","S008848",2
"661.WeeTU","S008848",2
"479.WeeTU","S008848",2
"862.WeeTU","S008848",2
"681.WeeTU","S008848",2
"454.WeeTU","S008848",2
"741.WeeTU","S008848",2
"899.WeeTU","S008848",2
"730.WeeTU","S008848",2
"878.WeeTU","S008848",2
"845.WeeTU","S008848",2
"14.WeeTU","S008848",1
"186.WeeTU","S008848",1
"890.WeeTU","S008848",4
"36.WeeTU","S009069",1792
"497.WeeTU","S009069",1
"420.WeeTU","S009069",1
"339.WeeTU","S009069",2
"632.WeeTU","S009069",2
"424.WeeTU","S009069",2
"361.WeeTU","S009069",1
"405.WeeTU","S009069",1
"417.WeeTU","S009069",2
"380.WeeTU","S009069",1
"910.WeeTU","S009069",1
"523.WeeTU","S009069",1
"609.WeeTU","S009069",1
"165.WeeTU","S009069",23
"170.WeeTU","S009069",23
"202.WeeTU","S009069",22
"291.WeeTU","S009069",21
"205.WeeTU","S009069",20
"322.WeeTU","S009069",19
"256.WeeTU","S009069",15
"230.WeeTU","S009069",14
"275.WeeTU","S009069",9
"409.WeeTU","S009069",9
"589.WeeTU","S009069",8
"239.WeeTU","S009069",8
"557.WeeTU","S009069",7
"718.WeeTU","S009069",7
"560.WeeTU","S009069",6
"821.WeeTU","S009069",5
"410.WeeTU","S009069",5
"313.WeeTU","S009069",5
"564.WeeTU","S009069",2
"550.WeeTU","S009069",2
"354.WeeTU","S009069",6
"184.WeeTU","S009069",14
"784.WeeTU","S009069",3
"659.WeeTU","S009069",6
"801.WeeTU","S009069",2
"43.WeeTU","S009029",5
"297.WeeTU","S009029",3
"281.WeeTU","S009029",2
"497.WeeTU","S009029",2
"83.WeeTU","S009029",210
"366.WeeTU","S009029",1
"420.WeeTU","S009029",1
"339.WeeTU","S009029",1
"424.WeeTU","S009029",1
"671.WeeTU","S009029",1
"434.WeeTU","S009029",1
"405.WeeTU","S009029",2
"556.WeeTU","S009029",1
"417.WeeTU","S009029",1
"551.WeeTU","S009029",1
"532.WeeTU","S009029",2
"609.WeeTU","S009029",1
"812.WeeTU","S009029",1
"20.WeeTU","S009029",1187
"14.WeeTU","S009029",1285
"52.WeeTU","S009029",951
"74.WeeTU","S009029",490
"579.WeeTU","S009029",2
"26.WeeTU","S009058",3231
"297.WeeTU","S009058",1
"497.WeeTU","S009058",2
"366.WeeTU","S009058",1
"420.WeeTU","S009058",3
"424.WeeTU","S009058",2
"671.WeeTU","S009058",2
"434.WeeTU","S009058",1
"556.WeeTU","S009058",1
"305.WeeTU","S009058",1
"551.WeeTU","S009058",1
"380.WeeTU","S009058",1
"609.WeeTU","S009058",1
"201.WeeTU","S009058",26
"719.WeeTU","S009058",20
"221.WeeTU","S009058",15
"337.WeeTU","S009058",9
"727.WeeTU","S009058",6
"460.WeeTU","S009058",3
"868.WeeTU","S009058",2
"909.WeeTU","S009058",2
"415.WeeTU","S009058",2
"22.WeeTU","S008879",1
"98.WeeTU","S008879",1
"297.WeeTU","S008879",1
"497.WeeTU","S008879",1
"420.WeeTU","S008879",1
"339.WeeTU","S008879",4
"424.WeeTU","S008879",2
"361.WeeTU","S008879",2
"446.WeeTU","S008879",1
"305.WeeTU","S008879",3
"380.WeeTU","S008879",2
"523.WeeTU","S008879",1
"297.WeeTU","S009025",1
"281.WeeTU","S009025",2
"497.WeeTU","S009025",1
"366.WeeTU","S009025",5
"339.WeeTU","S009025",1
"632.WeeTU","S009025",1
"671.WeeTU","S009025",1
"361.WeeTU","S009025",1
"446.WeeTU","S009025",1
"405.WeeTU","S009025",1
"305.WeeTU","S009025",1
"910.WeeTU","S009025",1
"872.WeeTU","S009025",1
"38.WeeTU","S009025",1524
"311.WeeTU","S009025",11
"155.WeeTU","S009025",48
"263.WeeTU","S009025",12
"503.WeeTU","S009025",4
"216.WeeTU","S009025",14
"213.WeeTU","S009025",17
"328.WeeTU","S009025",4
"687.WeeTU","S009025",2
"682.WeeTU","S009025",2
"898.WeeTU","S009025",6
"4.WeeTU","S008869",1
"9.WeeTU","S008869",2
"17.WeeTU","S008869",10
"10.WeeTU","S008869",4
"8.WeeTU","S008869",10
"15.WeeTU","S008869",2343
"26.WeeTU","S008869",3
"22.WeeTU","S008869",1
"127.WeeTU","S008869",1
"29.WeeTU","S008869",3
"50.WeeTU","S008869",1
"91.WeeTU","S008869",1
"30.WeeTU","S008869",1
"421.WeeTU","S008869",1
"123.WeeTU","S008869",1
"297.WeeTU","S008869",2
"281.WeeTU","S008869",2
"497.WeeTU","S008869",2
"220.WeeTU","S008869",1
"366.WeeTU","S008869",4
"420.WeeTU","S008869",3
"87.WeeTU","S008869",2
"339.WeeTU","S008869",2
"632.WeeTU","S008869",2
"424.WeeTU","S008869",1
"671.WeeTU","S008869",2
"361.WeeTU","S008869",2
"446.WeeTU","S008869",1
"434.WeeTU","S008869",2
"102.WeeTU","S008869",1
"405.WeeTU","S008869",3
"336.WeeTU","S008869",2
"556.WeeTU","S008869",2
"305.WeeTU","S008869",1
"417.WeeTU","S008869",4
"551.WeeTU","S008869",2
"380.WeeTU","S008869",2
"465.WeeTU","S008869",2
"532.WeeTU","S008869",3
"523.WeeTU","S008869",2
"609.WeeTU","S008869",2
"182.WeeTU","S008869",14
"276.WeeTU","S008869",1
"32.WeeTU","S008869",7
"41.WeeTU","S008869",1
"3.WeeTU","S008869",2
"5.WeeTU","S008869",2
"143.WeeTU","S008869",1
"27.WeeTU","S008869",2
"34.WeeTU","S008869",1
"297.WeeTU","S009019",2
"497.WeeTU","S009019",1
"420.WeeTU","S009019",1
"339.WeeTU","S009019",1
