"Sp.Code","Genus","Alt.Genus","Species","Alt.Species","subspecies","Common.Name","Family","Duration","Community"
"zinn pumi","Zinnia","","acerosa","pumila","","Desert zinnia","Asteraceae","Perennial","Subshrub"
"zinn gran","Zinnia","","grandiflora","","","Wild zinnia","Asteraceae","Perennial","Subshrub"
"yucc elat","Yucca","","elata","","","Soaptree yucca","Asparagaceae","Perennial","Shrub"
"xant spin","Xanthisma","","spinulosum","","var. chihuahuanum","Chihuahua Tansyaster","Asteraceae","Perennial","Subshrub"
"vulp octo","Vulpia","","octoflora","","","Sixweeks fescue","Poaceae","Annual","Winter Annuals"
"verb ence","Verbesina","","encelioides","","","Golden Crownbeard","Asteraceae","Annual","Summer Annuals"
"trid pulc","Erioneuron","Tridens","pulchellum","","","Fluff grass","Poaceae","Perennial","Perennials"
"tric cali","Digitaria","Trichachne","californica","","","Arizona cottontop","Poaceae","Perennial","Perennials"
"tria port","Trianthema","","portulacastrum","","","Desert Horsepurslane","Aizoaceae","Annual","Summer Annuals"
"trag bert","Tragus","","berteronianus","","","Spiked Bur Grass","Poaceae","Annual","Summer Annuals"
"tide lanu","Tidestromia","","lanuginosa","","","Woolly Tidestromia","Amaranthaceae","Annual","Summer Annuals"
"tetr coul","Tetraclea","","coulteri","","","Coulter’s wrinkle fruit","Verbenaceae","Perennial","Subshrub"
"tali aura","Phemeranthus","Talinum","aurantiacus","aurantiacum","","Orange fameflower","Montiaceae","Perennial","Perennial Forb"
"tali angu","Phemeranthus","Talinum","angustissimum","","","Orange fameflower","Montiaceae","Perennial","Perennial Forb"
"step exig","Stephanomeria","","exigua","","","Small wirelettuce","Asteraceae","Annual","Winter Annuals"
"spor cont","Sporobolus","","contractus","","","Spike dropseed","Poaceae","Perennial","Perennials"
"spha laxa","Sphaeralcea","","laxa","","","Caliche globemallow","Malvaceae","Perennial","Subshrub"
"spha inca","Sphaeralcea","","incana","","","Gray Globemallow","Malvaceae","Perennial","Subshrub"
"spha hast","Sphaeralcea","","hastulata","","","Spear globemallow","Malvaceae","Perennial","Subshrub"
"spha coul","Sphaeralcea","","coulteri","","","Coulter's globemallow","Malvaceae","Annual","Summer and Winter Annuals"
"spha angu","Sphaeralcea","","angustifolia","","","Copper globemallow","Malvaceae","Perennial","Subshrub"
"sper echi","Spermolepis","","echinata","","","Bristly scaleseed","Apiaceae","Annual","Winter Annuals"
"sola rost","Solanum","","rostratum","","","Buffalobur Nightshade","Solanaceae","Annual","Summer Annuals"
"sola elea","Solanum","","elaeagnifolium","","","Silverleaf nightshade","Solanaceae","Perennial","Subshrub"
"sita hyst","Elymus","Sitanion","elymoides","hystrix","","Squirreltail","Poaceae","Perennial","Perennials"
"sisy irio","Sisymbrium","","irio","","","London rocket","Brassicaceae","Annual","Winter Annuals"
"sida proc","Sida","","abutifolia","procumbens","","Spreading fanpetals","Malvaceae","Perennial","Perennial Forb"
"sida phys","Rhynchosida","Sida","physocalyx","","","Buffpetal","Malvaceae","Perennial","Subshrub"
"seta macr","Setaria","","macrostachya","","","Bristle grass","Poaceae","Perennial","Perennials"
"schi barb","Schismus","","barbatus","","","Mediterranean grass","Poaceae","Annual","Winter Annuals"
"sanv aber","Sanvitalia","","aberti","","","Abert's Creeping Zinnia","Asteraceae","Annual","Summer Annuals"
"sals kali","Kali","Salsola","tragus","kali","","Russian Thistle","Amaranthaceae","Annual","Summer Annuals"
"rume hyme","Rumex","","hymenosepalus","","","Desert dock","Polygonaceae","Perennial","Perennial Forb"
"rume alti","Rumex","","altissimus","","","Smooth dock","Polygonaceae","Perennial","Perennial Forb"
"pseu cane","Pseudognaphalium","","canescens","","","Wright's cudweed","Asteraceae","Annual","Winter and Summer Annuals"
"pros velu","Prosopis","","velutina","","","Velvet Mesquite","Leguminosae","Perennial","Shrub"
"pros glan","Prosopis","","glandulosa","","","Honey Mesquite","Leguminosae","Perennial","Shrub"
"prob parv","Proboscidea","","parviflora","","","Devil's Claw","Martyniaceae","Annual","Summer Annuals"
"port suff","Portulaca","","suffretescens","","","Shrubby purslane","Portulacaceae","Perennial","Subshrub"
"port parv","Portulaca","","halimoides","parvula","","Silkcotton Purslane","Portulacaceae","Annual","Summer Annuals"
"poly twee","Polygala","","tweedyi","","","Shrubby milkwort","Polygalaceae","Perennial","Subshrub"
"plan purs","Plantago","","patagonica","purshii","","Woolly plantain","Plantaginaceae","Annual","Winter Annuals"
"plag ariz","Plagiobothrys","","arizonicus","","","Arizona Popcornflower","Boraginaceae","Annual","Winter Annuals"
"pere nana","Perezia","Acourtia","nana","","","Dwarf desert holly","Asteraceae","Perennial","Perennial Forb"
"pect recu","Pectocarya","","recurvata","","","Curvenut combseed","Boraginaceae","Annual","Winter Annuals"
"pect papp","Pectis","","papposa","","","Manybristle Chinchweed","Asteraceae","Annual","Summer Annuals"
"part inca","Parthenium","","incanum","","","Mariola","Asteraceae","Perennial","Shrub"
"pani hirt","Panicum","","hirticaule","","","Mexican panicgrass","Poaceae","Annual","Summer and Winter Annuals"
"pani ariz","Brachiaria","Panicum","arizonica","","","Arizona Signalgrass","Poaceae","Annual","Summer Annuals"
"opun poly","Opuntia","","polyacantha","","","Plains pricklypear","Cactaceae","Perennial","Shrub"
"oeno prim","Oenothera","","primiveris","","","Desert evening primrose","Onagraceae","Annual","Winter Annuals"
"rume angu","Rumex","","crispus","angustifolium","","Curly dock","Polygonaceae","Perennial","Perennial Forb"
"nama hisp","Nama","","hispidum","","","Bristly nama","Boraginaceae","Annual","Winter Annuals"
"muhl port","Muhlenbergia","","porteri","","","Bush Muhly","Poaceae","Perennial","Perennials"
"moll vert","Mollugo","","verticillata","","","Green Carpetweed","Molluginaceae","Annual","Summer Annuals"
"moll cerv","Mollugo","","cerviana","","","Threadstem Carpetweed","Molluginaceae","Annual","Summer Annuals"
"micr lene","Uropappus","Microseris","lindleyi","lenearifolia","","Lindley's silverpuffs","Asteraceae","Annual","Winter Annuals"
"malv lepi","Malvella","","lepidota","","","Scurfy mallow","Malvaceae","Perennial","Perennial Forb"
"mala fend","Malacothrix","","fendleri","","","Fendler's desert dandelion","Asteraceae","Annual","Winter Annuals"
"mach tanr","Machaeranthera","","tanacetifoloia","","","Tansyleaf Tansyaster","Asteraceae","Annual","Summer Annuals"
"lycu phle","Lycurus","","phleoides","","","Wolf tail","Poaceae","Perennial","Perennials"
"lyci ande","Lycium","","andersonii","","","Anderson wolfberry","Solanaceae","Perennial","Shrub"
"lupi spar","Lupinus","","sparsiflorus","","","Coulter's lupine","Leguminosae","Annual","Winter Annuals"
"lupi conc","Lupinus","","concinnus","","","Bajada lupine","Leguminosae","Annual","Winter Annuals"
"lina texa","Nuttallanthus","Linaria","texanus","texana","","Texas toadflax","Plantaginaceae ","Annual","Winter Annuals"
"lina bige","Linanthus","","bigelovii","","","Bigelow's linanthus","Polemoniaceae","Annual","Winter Annuals"
"lesq gord","Physaria","Lesquerella","gordoni","","","Bladderpod","Brassicaceae","Annual","Winter Annuals"
"lepi lasi","Lepidium","","lasiocarpum","","","Shaggyfruit pepperweed","Brassicaceae","Annual","Winter Annuals"
"lapp redo","Lappula","","occidentalis","redowskii","","Flatspine stickseed","Boraginaceae","Annual","Winter Annuals"
"laen coul","Laennecia","","coulteri ","","","Coulter's Horseweed","Asteraceae","Annual","Winter and Summer Annuals"
"kall hirs","Kallstroemia","","hirsutissima","","","Hairy Caltrop","Zygophyllaceae","Annual","Summer Annuals"
"kall gran","Kallstroemia","","grandiflora","","","Arizona Poppy","Zygophyllaceae","Annual","Summer Annuals"
"kall cali","Kallstroemia","","californica","","","California Caltrop","Zygophyllaceae","Annual","Summer Annuals"
"ipom cost","Ipomoea","","costellata","","","Crestrib Morning Glory","Convolvulaceae","Annual","Summer Annuals"
"hoff dens","Hoffmanseggia","","glauca","densiflora","","Hog potato","Leguminosae","Perennial","Perennial Forb"
"hila muti","Hilaria","","mutica","","","Tobosa grass","Poaceae","Perennial","Perennials"
"hete suba","Heterotheca","","subaxillaris","","","Camphorweed","Asteraceae","Annual","Winter and Summer Annuals"
"hapl tenu","Isocoma","Haplopappus","tenuisectus","","","Burroweed","Asteraceae","Perennial","Subshrub"
"hapl spin","Haplopappus","","spinulosus","","","Lacy tansyaster","Asteraceae","Perennial","Subshrub"
"hapl grac","Machaeranthera","Haplopappus","gracilis","","","Slender Goldenweed","Asteraceae","Annual","Summer and Winter Annuals"
"guti saro","Gutierrezia","","microcephala","sarothrae","","Snakeweed","Asteraceae","Perennial","Shrub"
"pani mili","Panicum","","miliaceum","","","Broomcorn Millet","Poaceae","Annual","Summer Annuals"
"gili sinu","Gilia","","sinuata","","","Rosy gilia","Polemoniaceae","Annual","Winter Annuals"
"gili mexi","Gilia","","mexicana","","","El Paso gilia","Polemoniaceae","Annual","Winter Annuals"
"flou cern","Flourensia","","cernua","","","Tarbush","Asteraceae","Perennial","Shrub"
"euro lana","Krascheninnikovia","Eurotia","lanata","","","Winterfat","Amaranthaceae","Perennial","Shrub"
"lyci torr","Lycium","","torreyi","","","Torrey wolfberry","Solanaceae","Perennial","Shrub"
"euph serr","Euphorbia","","serrula","","","Sawtooth sandmat","Euphorbiaceae","Annual","Summer Annuals"
"euph serp","Euphorbia","","serpyllifolia","","","Thymeleaf sandmat","Euphorbiaceae","Annual","Summer Annuals"
"euph micr","Euphorbia","","micromera","","","Sonoran sandmat","Euphorbiaceae","Annual","Summer Annuals"
"euph fend","Euphorbia","","fendleri","","","Fendler's sandmat","Euphorbiaceae","Annual","Summer Annuals"
"euph exst","Euphorbia","","exstipulata","","","Squareseed spurge","Euphorbiaceae","Annual","Summer Annuals"
"esch mexi","Eschscholzia","","californica","mexicana","","California poppy","Papaveraceae","Annual","Winter Annuals"
"erod texa","Erodium","","texanum","","","Texas stork's bill","Geraniaceae","Annual","Winter Annuals"
"erod cicu","Erodium","","cicutarium","","","Redstem stork's bill","Geraniaceae","Annual","Summer and Winter Annuals"
"erio poly","Eriogonum","","polycladon","","","Sorrel buckwheat","Polygonaceae","Annual","Summer Annuals"
"erio lemm","Eriochloa","","lemmonii","","","Canyon cupgrass","Poaceae","Annual","Summer and Winter Annuals"
"erio aber","Eriogonum","","abertianum","","","Abert's buckwheat","Polygonaceae","Annual","Summer and Winter Annuals"
"erig dive","Erigeron","","divergens","","","Spreading fleabane","Asteraceae","Annual","Summer and Winter Annuals"
"eria diff","Eriastrum","","diffusum","","","Miniature woollystar","Polemoniaceae","Annual","Winter Annuals"
"erag lehm","Eragrostis","","lehmanniana","","","Lehmann’s lovegrass","Poaceae","Perennial","Perennials"
"erag inte","Eragrostis","","intermedia","","","Plains Lovegrass","Poaceae","Perennial","Perennials"
"erag cili","Eragrostis","","cilianensis","","","Stinkgrass","Poaceae","Annual","Summer Annuals"
"erag arid","Eragrostis","","pectinaceae","arida","","Desert lovegrass","Poaceae","Annual","Summer Annuals"
"ephe trif","Ephedra","","trifurca","","","Longleaf jointfir","Ephedraceae","Perennial","Shrub"
"enne desv","Enneapogon","","desvauxii","","","Nineawn pappusgrass","Poaceae","Perennial","Perennials"
"dyss pent","Thymophylla","Dyssodia","pentachaeta","","","Fiveneedle pricklyleaf","Asteraceae","Perennial","Subshrub"
"dith wisl","Dimorphocarpa","Dithyrea","wislizeni","","","Spectaclepod","Brassicaceae","Annual","Summer and Winter Annuals"
"dich pulc","Dichlostemma","","capitatum","pulchellum","subsp. pauciflorum","Blue Dicks","Asparagaceae","Perennial","Perennial Forb"
"desc pinn","Descurainia","","pinnata","","","Western tansymustard","Brassicaceae","Annual","Winter Annuals"
"desc obtu","Descurainia","","obtusa","","","Blunt tansymustard","Brassicaceae","Annual","Winter Annuals"
"dale pogo","Dalea","","pogonathera","","","Bearded prairie clover","Leguminosae","Perennial","Perennial Forb"
"dale nana","Dalea","","nana","","","Dwarf prairie clover","Leguminosae","Perennial","Perennial Forb"
"dale brac","Dalea","","brachystachya","","","Fort Bowie prairie clover","Leguminosae","Annual","Summer and Winter Annuals"
"cusc tube","Cuscuta","","tuberculata","","","Tubercle Dodder","Convolvulaceae","Perennial","Perennial Forb"
"cryp micr","Cryptantha","","micrantha","","","Redroot cryptantha","Boraginaceae","Annual","Winter Annuals"
"crot pumi","Crotalaria","","pumila","","","Low rattlebox","Leguminosae","Annual","Summer Annuals"
"crot cory","Croton","","potsii","corymbulosus","","Leatherweed","Euphorbiaceae","Perennial","Subshrub"
"cirs neom","Cirsium","","neomexicanum","","","New Mexico thistle","Asteraceae","Perennial","Perennial Forb"
"chor tene","Chorispora","","tenella","","","Crossflower","Brassicaceae","Annual","Winter Annuals"
"chlo virg","Chloris","","virgata","","","Feather fingergrass","Poaceae","Annual","Summer Annuals"
"chen frem","Chenopodium","","fremontii","","","Fremont's goosefoot","Amaranthaceae","Annual","Summer and Winter Annuals"
"chae stev","Chaenactis","","stevioides","","","Esteve's pincushion","Asteraceae","Annual","Winter Annuals"
"chae eric","Chaetopappa","","ericoides","","","Rose heath","Asteraceae","Perennial","Perennial Forb"
"cass lept","Chamaecrista","Cassia","nictitans","leptadenia","var. mensalis","Sensitive partridge pea","Leguminosae","Annual","Summer Annuals"
"sida spin","Sida","","spinosa","","","Prickly Fanpetals","Malvaceae","Annual","Summer Annuals"
"cass bauh","Senna","Cassia","bauhinoides","","","Twinleaf senna","Leguminosae","Perennial","Subshrub"
"carl line","Carlowrightia","","linearifolia","","","Heath wrightwort","Acanthoideae","Perennial","Shrub"
"caly wrig","Calycoseris","","wrightii","","","White tackstem","Asteraceae","Annual","Winter Annuals"
"brom rube","Bromus","","rubens","","","Red brome","Poaceae","Annual","Winter Annuals"
"bric eupa","Brickellia","","eupatorioides","","var. chlorolepis","False Boneset","Asteraceae","Perennial","Subshrub"
"bray dens","Guilleminea","Brayulinea","densa","","var. densa ","Small matweed ","Amaranthaceae","Perennial","Perennial Forb"
"bout grac","Bouteloua","","gracilis","","","Blue grama","Poaceae","Perennial","Perennials"
"bout erio","Chondrosum","Bouteloua","eriopodum","eriopoda","","Black grama","Poaceae","Perennial","Perennials"
"bout dact","Buchloe","Bouteloua","dactyloides","","","Buffalo grass","Poaceae","Perennial","Perennials"
"bout barb","Chondrosum","Bouteloua","barbatum","barbata","","Sixweeks grama","Poaceae","Annual","Summer Annuals"
"bout aris","Bouteloua","","aristidoides","","","Needle grama","Poaceae","Annual","Summer Annuals"
"both barb","Bothriochloa","","barbinodis","","","Cane bluestem","Poaceae","Perennial","Perennials"
"boer torr","Boerhavia","","spicata","torreyana","","Creeping spiderling","Nyctaginaceae","Annual","Summer Annuals"
"comm erec","Commelina","","erecta","","","Whitemouth dayflower","Commelinaceae","Perennial","Shrub"
"boer inte","Boerhavia","","intermedia","","","Firewing spiderling","Nyctaginaceae","Annual","Summer Annuals"
"cryp cras","Cryptantha","","crassisepala","","","Thicksepal cryptantha","Boraginaceae","Annual","Winter Annuals"
"boer coul","Boerhavia","","coulteri","","","Coulter's spiderling","Nyctaginaceae","Annual","Summer Annuals"
"boer cocc","Boerhavia","","coccinea","","","Garnet spiderling","Nyctaginaceae","Perennial","Perennial Forb"
"bail mult","Baileya","","multiradiata","","","Desert marigold","Asteraceae","Annual","Summer and Winter Annuals"
"bahi bite","Bahia","","biternata","","","Slimlobe bahia","Asteraceae","Annual","Summer Annuals"
"erig conc","Erigeron","","concinnus","","","Navajo Fleabane","Asteraceae","Perennial","Subshrub"
"bahi absi","Bahia","","absinthifolia","","","Sageleaf Bahia","Asteraceae","Perennial","Perennial Forb"
"atri wrig","Atriplex","","wrightii","","","Wright's saltbush","Amaranthaceae","Annual","Summer Annuals"
"atri eleg","Atriplex","","elegans","","","Wheelscale Saltbush","Amaranthaceae","Annual","Summer Annuals"
"atri cane","Atriplex","","canescens","","","Four-wing Saltbush","Amaranthaceae","Perennial","Shrub"
"atri acan","Atriplex","","acanthocarpa","","","Tubercled Saltbush","Amaranthaceae","Perennial","Shrub"
"astr nutt","Astragalus","","nuttallianus","","","Smallflowered milkvetch","Leguminosae","Annual","Winter Annuals"
"astr allo","Astragalus","","allochrous","","","Halfmoon milkvetch","Leguminosae","Annual","Winter Annuals"
"aris long","Aristida","","purpurea","","var. longiseta","Purple threeawn","Poaceae","Perennial","Perennials"
"aris hamu","Aristida","","ternipes","hamulosa","var. gentilis","Spidergrass","Poaceae","Perennial","Perennials"
"aris adsc","Aristida","","adscensionis","","","Sixweeks threeawn","Poaceae","Annual","Summer Annuals"
"apod undu","Apodanthera","","undulata","","","Melon loco","Cucurbitaceae","Perennial","Perennial Forb"
"andr occi","Androsace","","occidentalis","","","Western rockjasmine","Primulaceae","Annual","Winter Annuals"
"amsi tess","Amsinckia","","tessellata","","","Bristly Fiddleneck","Boraginaceae","Annual","Winter Annuals"
"amsi inte","Amsinckia","","menziesii","intermedia","","Common fiddleneck","Boraginaceae","Annual","Winter Annuals"
"ammo chen","Ammocodon","","chenopodioides","","","Goosefoot monopod","Nyctaginaceae","Perennial","Perennial Forb"
"ambr arte","Ambrosia","","artemisiifolia","","","Annual ragweed","Asteraceae","Annual","Summer and Winter Annuals"
"phac ariz","Phacelia","","arizonica","","","Arizona scorpionweed","Boraginaceae","Annual","Winter Annuals"
"amar palm","Amaranthus","","palmeri","","","Carelessweed","Amaranthaceae","Annual","Summer Annuals"
"alli inca","Allionia","","incarnata","","","Trailing windmills","Nyctaginaceae","Perennial","Perennial Forb"
"acac greg","Acacia","","greggii","","","Catclaw acacia","Leguminosae","Perennial","Shrub"
"acac cons","Acacia","","constricta","","","Whitethorn acacia","Leguminosae","Perennial","Shrub"
